dataset,regime,noise_type,noise_rate,seed,split,score_name,correctness_auroc,aurc,coverage_at_test_risk_0_05,coverage_at_test_risk_0_10,risk_at_coverage_0_10,risk_at_coverage_0_25,risk_at_coverage_0_50,risk_at_coverage_0_75,risk_at_coverage_1_00,n_examples,n_correct,accuracy,reason,run_dir
cifar100,sym35,symmetric,0.35,0,test,energy,0.7918023850435616,0.24564534043764374,0.0769,0.1722,0.063,0.1268,0.2412,0.36466666666666664,0.4668,10000,5332,0.5332,ok,runs/srcc_cifar100_sym35_seed0
cifar100,sym35,symmetric,0.35,0,test,maxlogit,0.8042565348920778,0.23999029082843107,0.0796,0.1763,0.062,0.1236,0.2328,0.36,0.4668,10000,5332,0.5332,ok,runs/srcc_cifar100_sym35_seed0
cifar100,sym35,symmetric,0.35,1,test,msp,0.8300747409266689,0.22288411399063052,0.131,0.265,0.044,0.0956,0.2152,0.34746666666666665,0.4674,10000,5326,0.5326,ok,runs/srcc_cifar100_sym35_seed1
cifar100,sym35,symmetric,0.35,1,test,entropy,0.8252978742754599,0.2249207469479079,0.1226,0.256,0.045,0.0976,0.2158,0.35173333333333334,0.4674,10000,5326,0.5326,ok,runs/srcc_cifar100_sym35_seed1
cifar100,sym35,symmetric,0.35,1,test,margin,0.8242073182782937,0.22491652051037136,0.1343,0.2634,0.044,0.0952,0.2178,0.3532,0.4674,10000,5326,0.5326,ok,runs/srcc_cifar100_sym35_seed1
cifar100,sym35,symmetric,0.35,1,test,energy,0.7970668631177882,0.2430980912034318,0.0503,0.2072,0.065,0.1252,0.2374,0.3622666666666667,0.4674,10000,5326,0.5326,ok,runs/srcc_cifar100_sym35_seed1
cifar100,sym35,symmetric,0.35,1,test,maxlogit,0.8106909797826954,0.2368825912263129,0.0507,0.2124,0.065,0.1228,0.228,0.3544,0.4674,10000,5326,0.5326,ok,runs/srcc_cifar100_sym35_seed1
cifar100,sym35,symmetric,0.35,2,test,msp,0.8302517729932413,0.22327515948497823,0.0987,0.2752,0.052,0.0904,0.2124,0.3490666666666667,0.4678,10000,5322,0.5322,ok,runs/srcc_cifar100_sym35_seed2
cifar100,sym35,symmetric,0.35,2,test,entropy,0.824729952013784,0.22581374152780587,0.1004,0.265,0.049,0.0944,0.2152,0.3542666666666667,0.4678,10000,5322,0.5322,ok,runs/srcc_cifar100_sym35_seed2
cifar100,sym35,symmetric,0.35,2,test,margin,0.8253751077066984,0.2249395797180059,0.098,0.2784,0.051,0.0912,0.2142,0.35573333333333335,0.4678,10000,5322,0.5322,ok,runs/srcc_cifar100_sym35_seed2
