dataset,regime,score_name,coverage_level,mean_risk,std_risk,n_seeds
cifar100,asym20,margin,1.0,0.35013333333333335,0.0027061657993059586,3
cifar100,asym20,maxlogit,0.1,0.036,0.007810249675906653,3
cifar100,asym20,maxlogit,0.25,0.076,0.0016000000000000042,3
cifar100,asym20,maxlogit,0.5,0.1424,0.006039867548216591,3
cifar100,asym20,maxlogit,0.75,0.2333777777777778,0.003613144726524922,3
cifar100,asym20,maxlogit,1.0,0.35013333333333335,0.0027061657993059586,3
cifar100,asym20,msp,0.1,0.021,0.004,3
cifar100,asym20,msp,0.25,0.04666666666666667,0.002663331247391757,3
cifar100,asym20,msp,0.5,0.11793333333333333,0.0016041612554021259,3
cifar100,asym20,msp,0.75,0.2248,0.00426041208231212,3
cifar100,asym20,msp,1.0,0.35013333333333335,0.0027061657993059586,3
cifar100,clean,energy,0.1,0.011333333333333334,0.0037859388972001826,3
cifar100,clean,energy,0.25,0.021199999999999997,0.0013856406460551014,3
cifar100,clean,energy,0.5,0.054733333333333335,0.002571640202931455,3
cifar100,clean,energy,0.75,0.12266666666666666,0.0019641226483541607,3
cifar100,clean,energy,1.0,0.22886666666666666,0.0005507570547286134,3
cifar100,clean,entropy,0.1,0.006000000000000001,0.004,3
cifar100,clean,entropy,0.25,0.010933333333333335,0.0018036999011291582,3
cifar100,clean,entropy,0.5,0.0348,0.0024331050121192874,3
cifar100,clean,entropy,0.75,0.11271111111111111,0.001601850781416902,3
cifar100,clean,entropy,1.0,0.22886666666666666,0.0005507570547286134,3
cifar100,clean,margin,0.1,0.004666666666666667,0.0030550504633038936,3
cifar100,clean,margin,0.25,0.009466666666666667,0.0012858201014657271,3
cifar100,clean,margin,0.5,0.03186666666666666,0.0018036999011291574,3
cifar100,clean,margin,0.75,0.10324444444444443,0.0020367003088692633,3
cifar100,clean,margin,1.0,0.22886666666666666,0.0005507570547286134,3
cifar100,clean,maxlogit,0.1,0.011333333333333334,0.0037859388972001826,3
cifar100,clean,maxlogit,0.25,0.02093333333333333,0.0015143755588800738,3
cifar100,clean,maxlogit,0.5,0.0524,0.0027784887978899602,3
cifar100,clean,maxlogit,0.75,0.11853333333333334,0.002182760739165989,3
cifar100,clean,maxlogit,1.0,0.22886666666666666,0.0005507570547286134,3
cifar100,clean,msp,0.1,0.005,0.003,3
cifar100,clean,msp,0.25,0.010266666666666667,0.0016653327995729062,3
cifar100,clean,msp,0.5,0.0326,0.0024979991993593583,3
cifar100,clean,msp,0.75,0.10453333333333333,0.001571976816340211,3
cifar100,clean,msp,1.0,0.22886666666666666,0.0005507570547286134,3
cifar100,sym35,energy,0.1,0.06233333333333333,0.003055050463303896,3
cifar100,sym35,energy,0.25,0.12533333333333332,0.0014047538337136967,3
cifar100,sym35,energy,0.5,0.23986666666666667,0.0021385353243127225,3
cifar100,sym35,energy,0.75,0.3631555555555555,0.001315435429950982,3
cifar100,sym35,energy,1.0,0.4673333333333333,0.0005033222956847164,3
cifar100,sym35,entropy,0.1,0.04566666666666667,0.003055050463303896,3
cifar100,sym35,entropy,0.25,0.0964,0.0017435595774162717,3
cifar100,sym35,entropy,0.5,0.2179333333333333,0.00422532050066422,3
cifar100,sym35,entropy,0.75,0.3542222222222222,0.002466966948689413,3
