dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,threshold,threshold_direction,baseline_name,baseline_equivalence,prop_coverage,prop_risk,prop_n,prop_k,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,reason,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,delta_risk_per_row,delta_coverage_per_row,run_dir,model,epochs,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n
cifar100,asym20,asymmetric,0.2,1,0.1,0.7,msp,0.9663202671615256,>=,srcc_main,,0.3416,0.0690866510538641,854,59,808,58,0.0935851294743787,0.3033448963457245,True,0.3033448963457245,0.3291,0.064721969006381,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed1,resnet18,120,0.0166666666666666,0.0717821782178217,0.3232,3291.0,213.0,0.6529,39.0,769.0
cifar100,asym20,asymmetric,0.2,2,0.05,1.0,entropy,0.0253323738656879,<=,srcc_main,,0.272,0.0470588235294117,680,32,684,48,0.0939062059418437,0.2547431060772127,False,0.0,0.2736,0.0486111111111111,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed2,resnet18,120,0.0166666666666666,0.0701754385964912,0.2736,2736.0,133.0,0.649,80.0,604.0
cifar100,asym20,asymmetric,0.2,2,0.1,0.5,entropy,0.0253323738656879,<=,srcc_main,,0.272,0.0470588235294117,680,32,684,48,0.0939062059418437,0.2547431060772127,True,0.2547431060772127,0.2736,0.0486111111111111,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed2,resnet18,120,0.0166666666666666,0.0701754385964912,0.2736,2736.0,133.0,0.649,39.0,645.0
cifar100,clean,symmetric,0.0,0,0.05,0.5,entropy,0.0291238507550637,<=,srcc_main,,0.4728,0.0245346869712351,1182,29,1116,35,0.0444292226269118,0.425126805229417,True,0.425126805229417,0.4626,0.0296152183311716,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed0,resnet18,120,0.0166666666666666,0.0313620071684587,0.4464,4626.0,137.0,0.7714,80.0,1036.0
cifar100,clean,symmetric,0.0,0,0.1,0.7,msp,0.8158553727067476,>=,srcc_main,,0.6828,0.0691271236086701,1707,118,1670,129,0.0923227645475764,0.647539210708719,True,0.647539210708719,0.6715,0.0769918093819806,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed0,resnet18,120,0.0166666666666666,0.0772455089820359,0.668,6715.0,517.0,0.7714,39.0,1631.0
cifar100,clean,symmetric,0.0,1,0.05,0.7,margin,0.9575223250707912,>=,srcc_main,,0.4968,0.0346215780998389,1242,43,1260,41,0.0449057843331095,0.4825268284130296,True,0.4825268284130296,0.5035,0.0325719960278053,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed1,resnet18,120,0.0166666666666666,0.0325396825396825,0.504,5035.0,164.0,0.7715,80.0,1180.0
cifar100,clean,symmetric,0.0,1,0.1,0.7,margin,0.7865070529331044,>=,srcc_main,,0.6424,0.0684931506849315,1606,110,1627,99,0.0747080446678974,0.6301166185725529,True,0.6301166185725529,0.6442,0.0641105246817758,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed1,resnet18,120,0.0166666666666666,0.0608481868469575,0.6508,6442.0,413.0,0.7715,39.0,1588.0
cifar100,clean,symmetric,0.0,2,0.05,0.5,msp,0.9785138948983304,>=,srcc_main,,0.472,0.0245762711864406,1180,29,1188,43,0.0495458809083638,0.4537913927172209,True,0.4537913927172209,0.4798,0.0293872446852855,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed2,resnet18,120,0.0166666666666666,0.0361952861952862,0.4752,4798.0,141.0,0.7705,80.0,1108.0
cifar100,clean,symmetric,0.0,2,0.1,0.7,margin,0.7490220936700824,>=,srcc_main,,0.6524,0.0698957694665849,1631,114,1650,121,0.0881887463360571,0.6394320046953513,True,0.6394320046953513,0.6645,0.0711813393528969,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed2,resnet18,120,0.0166666666666666,0.0733333333333333,0.66,6645.0,473.0,0.7705,39.0,1611.0
cifar100,sym35,symmetric,0.35,0,0.05,1.0,margin,0.9863133300415484,>=,srcc_main,,0.1508,0.0477453580901856,377,18,341,20,0.0918906159012731,0.1220923093240026,False,0.0,0.1529,0.066710268149117,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_sym35_seed0,resnet18,120,0.0166666666666666,0.0586510263929618,0.1364,1529.0,102.0,0.5332,80.0,261.0
