dataset,regime,noise_type,noise_rate,seed,alpha,baseline_name,canonical_baseline_name,baseline_equivalence,method_family,method_source,gamma,score_name,threshold,threshold_direction,prop_n,prop_k,prop_coverage,prop_risk,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,delta_risk_per_row,delta_coverage_per_row,reason,uses_test_for_selection,uses_certification_for_selection,selection_correction,is_primary_srcc,test_looks_good_but_not_certified,coverage_collapse,run_dir,model,epochs,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n
cifar10,asym20,asymmetric,0.2,1,0.1,naive_empirical_threshold,no_buffer_proposal,same_as_gamma_1_no_buffer,comparison,reused_proposal_selected_naive,1.0,msp,0.944658489193265,>=,1769,176,0.7076,0.0994912379875636,1742,172,0.1112871710221931,0.6813133973954427,False,0.0,0.6875,0.1037090909090909,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.05,0.0987370838117106,0.6968,6875.0,713.0,0.7979,29.0,1713.0
cifar10,asym20,asymmetric,0.2,1,0.1,no_buffer_proposal,no_buffer_proposal,gamma_1_no_buffer,comparison,derived_from_srcc_gamma_1,1.0,msp,0.944658489193265,>=,1769,176,0.7076,0.0994912379875636,1742,172,0.1150235598022671,0.6767799649039759,False,0.0,0.6875,0.1037090909090909,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.0166666666666666,0.0987370838117106,0.6968,6875.0,713.0,0.7979,39.0,1703.0
cifar10,asym20,asymmetric,0.2,1,0.1,srcc_main,srcc_main,,srcc,reused_from_baseline_report,0.7,entropy,0.0287709301567091,<=,1320,91,0.528,0.0689393939393939,1261,72,0.0726317859188633,0.4829264284698527,True,0.4829264284698527,0.496,0.0673387096774193,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,certified,False,False,proposal_split,True,False,False,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.0166666666666666,0.0570975416336241,0.5044,4960.0,334.0,0.7979,39.0,1222.0
cifar10,asym20,asymmetric,0.2,1,0.1,uncertified_empirical_threshold,naive_empirical_threshold,same_selector_as_naive_empirical_threshold,diagnostic,derived_from_naive_empirical_threshold,1.0,msp,0.944658489193265,>=,1769,176,0.7076,0.0994912379875636,1742,172,0.1112871710221931,0.6813133973954427,False,0.0,0.6875,0.1037090909090909,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.05,0.0987370838117106,0.6968,6875.0,713.0,0.7979,29.0,1713.0
cifar10,asym20,asymmetric,0.2,2,0.05,full_coverage,full_coverage,,comparison,reused_from_baseline_report,,full_coverage,,all,2500,489,1.0,0.1956,2500,488,0.2087009793534593,0.99880242475684,False,0.0,1.0,0.1923,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,none_needed_fixed_selector,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,,,,,,,,
cifar10,asym20,asymmetric,0.2,2,0.05,ltt_bonferroni,ltt_bonferroni,,comparison,reused_from_baseline_report,,entropy,0.7449204771363767,<=,2500,489,1.0,0.1956,2499,487,0.2271513355256372,0.9950088277370116,False,0.0,0.9998,0.1922384476895379,0.05,5e-05,5e-05,risk_only_legacy,simultaneous_rows,1000,5e-05,5e-05,high_cert_error_ucb,False,True,bonferroni,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,5e-05,0.1948779511804722,0.9996,9998.0,1922.0,0.8077,194.0,2305.0
cifar10,asym20,asymmetric,0.2,2,0.05,naive_empirical_threshold,no_buffer_proposal,same_as_gamma_1_no_buffer,comparison,reused_proposal_selected_naive,1.0,msp,0.9918686759600834,>=,1180,58,0.472,0.0491525423728813,1115,72,0.0780082348372506,0.4295007130162171,False,0.0,0.4589,0.0592721725866201,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.05,0.0645739910313901,0.446,4589.0,272.0,0.8077,59.0,1056.0
cifar10,asym20,asymmetric,0.2,2,0.05,no_buffer_proposal,no_buffer_proposal,gamma_1_no_buffer,comparison,derived_from_srcc_gamma_1,1.0,msp,0.9918686759600834,>=,1180,58,0.472,0.0491525423728813,1115,72,0.0820532025630924,0.4247291885636531,False,0.0,0.4589,0.0592721725866201,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.0166666666666666,0.0645739910313901,0.446,4589.0,272.0,0.8077,80.0,1035.0
cifar10,asym20,asymmetric,0.2,2,0.05,srcc_main,srcc_main,,srcc,reused_from_baseline_report,1.0,msp,0.9918686759600834,>=,1180,58,0.472,0.0491525423728813,1115,72,0.0820532025630924,0.4247291885636531,False,0.0,0.4589,0.0592721725866201,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,True,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.0166666666666666,0.0645739910313901,0.446,4589.0,272.0,0.8077,80.0,1035.0
cifar10,asym20,asymmetric,0.2,2,0.05,uncertified_empirical_threshold,naive_empirical_threshold,same_selector_as_naive_empirical_threshold,diagnostic,derived_from_naive_empirical_threshold,1.0,msp,0.9918686759600834,>=,1180,58,0.472,0.0491525423728813,1115,72,0.0780082348372506,0.4295007130162171,False,0.0,0.4589,0.0592721725866201,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.05,0.0645739910313901,0.446,4589.0,272.0,0.8077,59.0,1056.0
