dataset,regime,alpha,requested_budget,gamma,score_name,row_count,certification_rate,mean_certified_coverage_at_alpha,mean_cert_risk_ucb,mean_test_risk,mean_test_coverage
cifar10,asym20,0.1,2000,1.0,margin,5,0.0,0.0,0.1145831143538446,0.10631121103917163,0.6955
cifar10,asym20,0.1,2000,1.0,maxlogit,5,0.0,0.0,0.12401432206328174,0.09982031338782257,0.60002
cifar10,asym20,0.1,2000,1.0,msp,5,0.0,0.0,0.11572753094601249,0.10603335532999389,0.69832
cifar10,asym20,0.1,250,0.5,energy,5,0.4,0.08570882501478079,0.3182683922443813,0.06506022644061304,0.2217
cifar10,asym20,0.1,250,0.5,entropy,5,0.2,0.06750080483724845,0.21232718644482235,0.04815233921615465,0.33262
cifar10,asym20,0.1,250,0.5,margin,5,0.2,0.06903273222023268,0.23246660265335248,0.044151138593670994,0.31166
cifar10,asym20,0.1,250,0.5,maxlogit,5,0.2,0.03994388519127743,0.32017921663584537,0.06723875616016087,0.25006
cifar10,asym20,0.1,250,0.5,msp,5,0.2,0.06980019108073363,0.23050851404579994,0.0495856533210449,0.33318
cifar10,asym20,0.1,250,0.7,energy,5,0.0,0.0,0.3327131471643491,0.07340764120762897,0.2965
cifar10,asym20,0.1,250,0.7,entropy,5,0.2,0.07752877859248458,0.11109215613438397,0.06529739937246762,0.4993
cifar10,asym20,0.1,250,0.7,margin,5,0.4,0.1683770559130607,0.1122635004285701,0.06528360102205803,0.49358
cifar10,asym20,0.1,250,0.7,maxlogit,5,0.0,0.0,0.33071600875969737,0.07415828982224629,0.31076
cifar10,asym20,0.1,250,0.7,msp,5,0.2,0.0783069770708296,0.11360846593807024,0.06594073257136532,0.49898
cifar10,asym20,0.1,250,1.0,energy,5,0.0,0.0,0.17267918964409135,0.09251160466273163,0.51198
cifar10,asym20,0.1,250,1.0,entropy,5,0.0,0.0,0.1517258352124262,0.1017004720720942,0.6822
cifar10,asym20,0.1,250,1.0,margin,5,0.0,0.0,0.14579198976887367,0.10119478018998507,0.67268
cifar10,asym20,0.1,250,1.0,maxlogit,5,0.0,0.0,0.1627778080318774,0.09040088997882481,0.5208600000000001
cifar10,asym20,0.1,250,1.0,msp,5,0.0,0.0,0.14920172908959503,0.10273874940959633,0.6805999999999999
cifar10,asym20,0.1,500,0.5,energy,5,0.4,0.09864312002624287,0.13151721642439243,0.06269779858323957,0.25095999999999996
cifar10,asym20,0.1,500,0.5,entropy,5,0.4,0.12636884031648413,0.09674352777856739,0.05713786529958544,0.42358
cifar10,asym20,0.1,500,0.5,margin,5,0.6,0.21975727524835637,0.10024579347513411,0.05872649903957141,0.42648
cifar10,asym20,0.1,500,0.5,maxlogit,5,0.2,0.03838383851477511,0.13972708189392946,0.06344941445860988,0.27471999999999996
cifar10,asym20,0.1,500,0.5,msp,5,0.6,0.21521100991704398,0.09749180735085763,0.05740988710276825,0.42392
cifar10,asym20,0.1,500,0.7,energy,5,0.0,0.0,0.14764375976334343,0.07305319320749211,0.35118
cifar10,asym20,0.1,500,0.7,entropy,5,0.2,0.09350435646978116,0.1122936091339781,0.07374378772987818,0.55896
cifar10,asym20,0.1,500,0.7,margin,5,0.2,0.09470056271939896,0.11523989215329788,0.07589006039871946,0.56318
cifar10,asym20,0.1,500,0.7,maxlogit,5,0.0,0.0,0.1406159612314399,0.07508081731241943,0.38048000000000004
cifar10,asym20,0.1,500,0.7,msp,5,0.2,0.09470056271939896,0.11439671930661706,0.07491207078434352,0.5625199999999999
cifar10,asym20,0.1,500,1.0,energy,5,0.0,0.0,0.15795881391717007,0.1054775462106708,0.60678
cifar10,asym20,0.1,500,1.0,entropy,5,0.0,0.0,0.14407614012236608,0.10511093586099762,0.69912
cifar10,asym20,0.1,500,1.0,margin,5,0.0,0.0,0.13966776718203197,0.10717910441993639,0.70016
cifar10,asym20,0.1,500,1.0,maxlogit,5,0.0,0.0,0.15140067109148342,0.10344929899304803,0.61676
cifar10,asym20,0.1,500,1.0,msp,5,0.0,0.0,0.14160946980004835,0.10502476070229769,0.69418
cifar10,asym20,0.1,full,0.5,energy,5,1.0,0.16924321651764748,0.08086747492008098,0.053842388644150765,0.2043
cifar10,asym20,0.1,full,0.5,entropy,5,1.0,0.36269782145922685,0.06786338545919185,0.053799082100968884,0.3922
cifar10,asym20,0.1,full,0.5,margin,5,1.0,0.36230298065477917,0.06432885547036668,0.05714285714285714,0.392
cifar10,asym20,0.1,full,0.5,maxlogit,5,1.0,0.17654528676945985,0.08024464144572539,0.05323741007194245,0.2085
cifar10,asym20,0.1,full,0.5,msp,5,1.0,0.36230298065477917,0.06432885547036668,0.054735234215885956,0.3928
cifar10,asym20,0.1,full,0.7,energy,5,0.0,0.0,0.10543743272630009,0.07571801566579635,0.383
cifar10,asym20,0.1,full,0.7,entropy,5,1.0,0.5086730538065272,0.08246948988827027,0.06860356138706654,0.5335
